VideoId,Reviewed_by,Notes,Rating,in_playlist,Country_Code,Country_Name,Video_Offer,Video_Clicks
www.youtube.com/watch?v=tKzSex3vPNE,Jesse,,1,,US,United States,Wizard 101,5
www.youtube.com/watch?v=KyiLnVo-swU,Jesse,,1,,US,United States,Battlefield Heroes,2
www.youtube.com/watch?v=3z0y6Jrnvfo,Jesse,,1,,US,United States,Siege on Stars,1
www.youtube.com/watch?v=RHr9I7-DJPo,Jordan H,,1,,US,United States,Godsrule,3
www.youtube.com/watch?v=N8ipyiIDgh4,Jordan H,,1,,US,United States,Godsrule,3
www.youtube.com/watch?v=e1NQiojusVU,Sohaib,,1,,AU,Australia,Call of Duty,3
www.youtube.com/watch?v=SCIsXS0rQIg,Sohaib,,1,,AU,Australia,Call of Duty,2
www.youtube.com/watch?v=8MOXCo-Y2os,Sohaib,,1,,AU,Australia,Call of Duty,3
www.youtube.com/watch?v=udI-QzgF800,Sohaib,,1,,AU,Australia,Call of Duty,2
www.youtube.com/watch?v=FbE_J49OsbA,Callum,,1,,US,United States,Battlefield Heroes,194
www.youtube.com/watch?v=qm3Cc2DJNgM,Tyler,,1,,US,United States,Battlefield Heroes,2
www.youtube.com/watch?v=29JugZQh5I8,sheldon,,1,,PL,Poland,League of Legends,141
www.youtube.com/watch?v=-Jnt6gOORlw,sheldon,,1,,US,United States,Maple Story,14
www.youtube.com/watch?v=DBGjSOc5iJE,Sohaib,,1,,US,United States,Maple Story,3
www.youtube.com/watch?v=muTWme7eOes,Sohaib,,1,,IT,Italy,Tera,1
www.youtube.com/watch?v=Ru65578ZOOI,Callum,,1,,NO,Norway,Team Fortress 2,181
www.youtube.com/watch?v=oFnyi2lpvLA,Tyler,,1,,NO,Norway,Team Fortress 2,21
www.youtube.com/watch?v=oxgINPmGFoM,Callum,,1,,UK,United Kingdom,DC Universe Online (DCUO),16
www.youtube.com/watch?v=B9fZi-QNRIU,Callum,,1,1,DE,Germany,Minecraft,28
www.youtube.com/watch?v=tzjvcJGBhNw,Callum,,1,,DE,Germany,Minecraft,51
www.youtube.com/watch?v=NZ9bv4uJG04,Callum,,1,,UK,United Kingdom,Lord of the Rings Online (LOTRO),950
www.youtube.com/watch?v=Fq0KWGEtqAQ,sheldon,,1,,UK,United Kingdom,Age of Wushu,1
www.youtube.com/watch?v=ppySwdXXMNw,Tyler,,1,,UK,United Kingdom,Aion,1664
www.youtube.com/watch?v=liOUjoWTPDY,Tyler,,1,,UK,United Kingdom,Ghost Recon,487
www.youtube.com/watch?v=HitaSphmy8Y,Tyler,,1,,,,League of Legends,1
www.youtube.com/watch?v=WKAVTUrj6qk,Tyler,,1,,UK,United Kingdom,Lord of Ultima,8
www.youtube.com/watch?v=C04iYQYs1FA,Callum,,1,,US,United States,Star Wars: The Old Republic (SWTOR),62
www.youtube.com/watch?v=pkDDSmwBz8A,Callum,,1,,RO,Romania,Godfather: Five Families,24
www.youtube.com/watch?v=fZKBqOqPs6Y,Callum,,1,,RO,Romania,Settlers Online,35
www.youtube.com/watch?v=ze304QFHE6k,Callum,,1,,RO,Romania,Rising Cities,27
www.youtube.com/watch?v=u2wshHFXhM4,Callum,,1,,RO,Romania,Forge of Empires,14
www.youtube.com/watch?v=dWi3l9DZAZo,Tyler,,1,,RO,Romania,Pirate Storm,7
www.youtube.com/watch?v=1fbTUI04TpI,sheldon,,1,,RO,Romania,Star Trek Online,44
www.youtube.com/watch?v=LNZub-N_HOs,Sohaib,,1,,CA,Canada,Wargame 1942,3
www.youtube.com/watch?v=O5fo6bR2D5k,sheldon,,1,,CL,Chile,Runes of Magic,55
www.youtube.com/watch?v=E3Xs74-I17Y,Stefan,,1,,CL,Chile,Goal United,62
www.youtube.com/watch?v=nT8aDL15kWA,Sohaib,,1,,CL,Chile,Runes of Magic,9
www.youtube.com/watch?v=HdYZqDIlJnE,Sohaib,,1,,,,Runes of Magic,5
www.youtube.com/watch?v=8Nr4EOE-fGM,Sohaib,,1,,CL,Chile,Goal United,44
www.youtube.com/watch?v=Fjmuni7Jvqs,Sohaib,,1,,CL,Chile,Runes of Magic,1
www.youtube.com/watch?v=78qzgIxDQtU,Sohaib,,1,,CL,Chile,Runes of Magic,7
www.youtube.com/watch?v=B7kB6heHCh0,Sohaib,,1,,CL,Chile,Last Chaos,39
www.youtube.com/watch?v=YJj1GHNLOgk,Toby,,1,,US,United States,Star Wars: The Old Republic (SWTOR),1
www.youtube.com/watch?v=FtbHzSQ1-r4,Toby,,1,,US,United States,Runescape,1
www.youtube.com/watch?v=XaUtEhxDARg,Callum,,1,,CA,Canada,Star Wars: The Old Republic (SWTOR),36
www.youtube.com/watch?v=aCFxwvMp8vk,Sohaib,,1,,US,United States,Ghost Recon,5
www.youtube.com/watch?v=N1asn1TMqDc,Sohaib,,1,,UA,Ukraine,War Thunder,4
www.youtube.com/watch?v=ywBRKW93m0I,Sohaib,,1,,FR,France,Vexxhost,10
www.youtube.com/watch?v=xix60VG9AYY,Sohaib,,1,,FR,France,Vexxhost,7
www.youtube.com/watch?v=uwNjetfrFc4,Sohaib,,1,,FR,France,Vexxhost,2
www.youtube.com/watch?v=WlrioZPZyDs,Sohaib,,1,,,,World of Tanks,3
www.youtube.com/watch?v=WegkPWH1Sy8,Sheldon,,1,,US,United States,Marvel Avengers Alliance,1917
www.youtube.com/watch?v=pVLHvmaYxTE,Sohaib,trailer,1,,ES,Spain,PlanetSide 2,1
www.youtube.com/watch?v=saKC8Px02R4,Tyler,,1,,CA,Canada,Goodgame Empire,3
www.youtube.com/watch?v=K0LRQndF2i8,Tyler,,1,,CA,Canada,Goodgame Empire,8
www.youtube.com/watch?v=BCI_2Ki1bPQ,Tyler,,1,,CA,Canada,Goodgame Empire,1
www.youtube.com/watch?v=-F0Tv0OfgAk,Tyler,,1,,CA,Canada,Goodgame Empire,3
www.youtube.com/watch?v=L-BN3sVfjFc,Tyler,,1,,CA,Canada,Grand Fantasia,640
www.youtube.com/watch?v=BzfrRpxNCT8,Tyler,,1,,CA,Canada,Scarlet Blade,674
www.youtube.com/watch?v=2UXaPjU1n-Y,Sohaib,,1,,Malaysia,#N/A:lookupNotFound:Malaysia,Divine Souls,33
www.youtube.com/watch?v=J5fSEAO78E4,Sohaib,trailer,1,,US,United States,Star Wars: The Old Republic (SWTOR),1
www.youtube.com/watch?v=9MsnPvzDAMw,Sohaib,trailer,1,,US,United States,Runes of Magic,1
www.youtube.com/watch?v=xIXAF9bNsso,Sohaib,trailer,1,,US,United States,Star Trek Online,4
www.youtube.com/watch?v=h8d_Q7YLUOc,Sohaib,,1,,DE,Germany,Godsrule,1
www.youtube.com/watch?v=mLRstY_dImY,Sohaib,,1,,UK,United Kingdom,Fifa 13,1
www.youtube.com/watch?v=1drutzjeuIg,Sohaib,,1,,UK,United Kingdom,Fifa 13,1
www.youtube.com/watch?v=Dhnm7_2SP_g,Sheldon,,1,,NL,Netherlands,Maple Story,228
www.youtube.com/watch?v=cQbK1WOSgB4,Callum,,1,1,NL,Netherlands,Maple Story,109
www.youtube.com/watch?v=cFPuxGU1ucY,Sohaib,,1,,DE,Germany,War Thunder,4
www.youtube.com/watch?v=E9hS9I338ZU,sheldon,,1,,US,United States,Warframe,16
www.youtube.com/watch?v=CWwl_9XyygA,Jordan H,,1,,US,United States,DC Universe Online (DCUO),1
www.youtube.com/watch?v=vvlKrcfYU6E,Jordan H,,1,,US,United States,DC Universe Online (DCUO),2
www.youtube.com/watch?v=2PuT0x026Qc,Jordan H,,1,,US,United States,DC Universe Online (DCUO),1
www.youtube.com/watch?v=1cy1rMCNBoM,Jordan H,,1,,US,United States,DC Universe Online (DCUO),7
www.youtube.com/watch?v=FGxvdwueHOg,Jordan H,,1,,US,United States,DC Universe Online (DCUO),1
www.youtube.com/watch?v=ARf4cplcrf4,Jordan H,,1,,US,United States,DC Universe Online (DCUO),1
www.youtube.com/watch?v=X4vLiw81Qvw,Jordan H,,1,,US,United States,Call of Duty,4
www.youtube.com/watch?v=nlL_sU6F8ZM,sheldon,,1,,US,United States,Aion,145
www.youtube.com/watch?v=38Q8Wck6pBQ,sheldon,,1,1,US,United States,Aion,34
www.youtube.com/watch?v=zSDIxZasMes,Stefan,,1,,US,United States,Aion,158
www.youtube.com/watch?v=0GbWEHMQQTI,Tyler,,1,,LT,Lithuania,League of Legends,1
www.youtube.com/watch?v=BnFA1pbg350,Tyler,,1,,SE,Sweden,Marvel Avengers Alliance,11
www.youtube.com/watch?v=CWVuYbijQwk,Tyler,,1,,UK,United Kingdom,Maestia,2
www.youtube.com/watch?v=MBix8yGlY3g,Tyler,,1,,DK,Denmark,DC Universe Online (DCUO),1
www.youtube.com/watch?v=4N-TOoopffI,sheldon,,1,,DE,Germany,World of Tanks,22
www.youtube.com/watch?v=x2kBTw1m7O0,Sohaib,,1,,AU,Australia,DC Universe Online (DCUO),1
www.youtube.com/watch?v=4fOOfJkBnjw,George,,1,,US,United States,League of Legends,56
www.youtube.com/watch?v=-J9QjzBNuNs,George,,1,,US,United States,League of Legends,13
www.youtube.com/watch?v=3vDVZ7GKLbM,George,,1,,US,United States,League of Legends,22
www.youtube.com/watch?v=pAPYk_C2ZZU,George,,1,,US,United States,League of Legends,10
www.youtube.com/watch?v=N8cSYQ9EkOQ,George,,1,,US,United States,League of Legends,8
www.youtube.com/watch?v=OVA-SJ_iSUs,George,,1,,US,United States,League of Legends,12
www.youtube.com/watch?v=rLnQsxcCU-w,George,,1,,US,United States,League of Legends,23
www.youtube.com/watch?v=_2mV0XVbHSc,George,,1,,US,United States,League of Legends,220
www.youtube.com/watch?v=Ku1eMSNFeyY,Sheldon,,1,,US,United States,League of Legends,12
www.youtube.com/watch?v=dpPyM4I7LBk,Callum,,1,,US,United States,League of Legends,21
www.youtube.com/watch?v=43wFv3dW9-o,Callum,,1,1,US,United States,League of Legends,40
www.youtube.com/watch?v=I57IDfAUsY8,sheldon,,1,,US,United States,League of Legends,17
www.youtube.com/watch?v=814RxT01olQ,sheldon,,1,,US,United States,League of Legends,12
www.youtube.com/watch?v=kA2bNweLlXQ,sheldon,,1,,US,United States,League of Legends,28
www.youtube.com/watch?v=b-6UAT_hlCc,sheldon,,1,,US,United States,League of Legends,11
www.youtube.com/watch?v=Bl-TwmJWoJs,sheldon,,1,,US,United States,League of Legends,25
www.youtube.com/watch?v=EVMAZzUt6HE,sheldon,,1,,US,United States,League of Legends,796
www.youtube.com/watch?v=jZmUtBl2D-I,Sheldon,,1,,UK,United Kingdom,League of Legends,33
www.youtube.com/watch?v=zMrCtbPTVNI,Sheldon,,1,,UK,United Kingdom,League of Legends,18
www.youtube.com/watch?v=G8QDkvpCTvE,Callum,,1,,UK,United Kingdom,League of Legends,44
www.youtube.com/watch?v=w9zy0MGvbJY,Callum,,1,,UK,United Kingdom,League of Legends,26
www.youtube.com/watch?v=VXRl6u7rjB4,sheldon,,1,,UK,United Kingdom,League of Legends,17
www.youtube.com/watch?v=eCuz-i6bSRc,Tyler,,1,,UK,United Kingdom,League of Legends,10
