Reviewed by,Notes,"Score (-1=copyright, ?=questionable, 0=unrelated, 1=poor, 2=average, 3=good, 4=great, 5=pro, Approved=assume okay given past videos)",In playlist on anyTVgames?,YouTube views,User,Country Code,Country Name,Video_Link,Video_Offer,Video_Clicks
Sohaib,,1,,301,DylanDaSkaterr,US,United States,www.youtube.com/watch?v=0e-_W2bDvY8,Ghost Recon,1
Sohaib,,1,,69,Eddie Serrano,US,United States,www.youtube.com/watch?v=T2MFBdPJpN0,Elsword,7
sheldon,,1,,"13,117",EfectivTV,RO,Romania,www.youtube.com/watch?v=aznNbVqyNf0,Elsword,22
Sohaib,,1,,66,EnderBro,UA,Ukraine,www.youtube.com/watch?v=pxg0gt6AM38,Drakensang Online,142
Sohaib,,1,,51,EnderBro,UA,Ukraine,www.youtube.com/watch?v=uWmfZlFL5UM,Rappelz Online,25
sheldon,,1,,"13,411",Ethan Djuricin,CA,Canada,www.youtube.com/watch?v=Go67kCMt8ok,Edgeworld,16
sheldon,,1,1,"23,749",FlyGunCZ,CZ,Czech Republic,www.youtube.com/watch?v=NlXUhNKzvmM,Goodgame Empire,38
Tyler,,1,,278,Galucia,US,United States,www.youtube.com/watch?v=SHr5sxatqlY,Tera,8
Tyler,,1,,25,Galucia,US,United States,www.youtube.com/watch?v=Cw1BoCRasow,Tera,2
Sohaib,trailer,1,,682,GameOnline,RU,Russian Federation,www.youtube.com/watch?v=3GSMLTNoE7Y,Tera,1
Sohaib,trailer,1,,173,GameOnline,RU,Russian Federation,www.youtube.com/watch?v=Dn8TjD345-g,Tera,1
Sohaib,trailer,1,,578,Gamers_Reviews,US,United States,www.youtube.com/watch?v=USRsGl7wZQ0,Elsword,1
Sohaib,,1,,81,GamingInvasions,US,United States,www.youtube.com/watch?v=3Sw72CDkUmE,Star Wars: The Old Republic (SWTOR),1
sheldon,,1,,"27,623",George Vanous,CA,Canada,www.youtube.com/watch?v=ZYe5L1AZPi0,By Mmo 51,45
Preston,,1,,546,George Vanous,CA,Canada,www.youtube.com/watch?v=TZMpHjrJWpQ,Scarlet Blade,2
Callum,,1,,"39,753",HDPLAY Gaming Channel,RS,Serbia,www.youtube.com/watch?v=zTPgx0XNTmY,Forge of Empires,14
Tyler,,1,,"1,893",HeroPic,HU,Hungary,www.youtube.com/watch?v=7sX9LE7IBjk,League of Legends,24
Tyler,,1,,"1,563",HeroPic,HU,Hungary,www.youtube.com/watch?v=IFjS6yKg6bU,Tera,48
Tyler,,1,,335,HeroPic,HU,Hungary,www.youtube.com/watch?v=lv5vF0iJaxc,Tera,4
Tyler,,1,,280,HeroPic,HU,Hungary,www.youtube.com/watch?v=5OJ_HGjwFjM,Tera,6
Tyler,,1,,212,HeroPic,HU,Hungary,www.youtube.com/watch?v=M1K2b1uPLrM,League of Legends,5
Tyler,,1,,163,HeroPic,HU,Hungary,www.youtube.com/watch?v=usYOJuR5y8c,League of Legends,5
Tyler,,1,,94,HeroPic,HU,Hungary,www.youtube.com/watch?v=_3KEQ1MnHVs,League of Legends,2
Tyler,,1,,248,HeroPic,,,www.youtube.com/watch?v=qeUAiBWlD8k,League of Legends,1
Seb,,1,,20,HolyCrapinCow,SY,Syrian Arab Republic,www.youtube.com/watch?v=CVyPjSk-OKo,Dragons of Atlantis,1
Seb,,1,,79,Hoper D,PH,Philippines,www.youtube.com/watch?v=S3ahss0CX_E,Ghost Recon,8
Sohaib,,1,,37,Jared Kinley,US,United States,www.youtube.com/watch?v=Zgk9ZcxWySU,Star Wars: The Old Republic (SWTOR),2
Sohaib,trailer,1,,12,jasmin,PH,Philippines,www.youtube.com/watch?v=o9ganp9cYeI,Wartune,1
Jesse,,1,,44,Jeffrey Caughey Harrington,CA,Canada,www.youtube.com/watch?v=2c-M_pZPJA0,Godsrule,4
Jesse,,1,,27,Jerry,CZ,Czech Republic,www.youtube.com/watch?v=gDZYz5MkAec,Ghost Recon,2
Jesse,,1,,"13,000",Joel Shepherd,US,United States,www.youtube.com/watch?v=KFa0gd6gbcw,Lord of the Rings Online (LOTRO),4
Jesse,,1,,562,Joel Shepherd,US,United States,www.youtube.com/watch?v=lhB3sCH2VX0,Lord of the Rings Online (LOTRO),1
Jesse,,1,,60,JokerNetworking,US,United States,www.youtube.com/watch?v=lJhqYvFRN4Q,Imperium Galactic War,1
Jesse,,1,,716,Jonathan Connell,US,United States,www.youtube.com/watch?v=4AFud7s8hug,Wartune,3
Jesse,No Sound,1,,434,Jonathan Connell,US,United States,www.youtube.com/watch?v=g9KBFb-yzfY,Wartune,42
Jesse,,1,,34,Jonathan Connell,US,United States,www.youtube.com/watch?v=sKKydVX39Ds,Wartune,1
Jesse,,1,,25,Jonathan Connell,US,United States,www.youtube.com/watch?v=NsRrGsX7lrk,Wartune,1
Jesse,,1,,21,Jonathan Connell,US,United States,www.youtube.com/watch?v=JWQjrsriyMc,Godsrule,1
Jesse,Some Lag,1,,60,Jorge Pena,US,United States,www.youtube.com/watch?v=ynw2Z0Z9aPg,Fiesta,71
Jesse,Some Lag,1,,26,Jorge Pena,US,United States,www.youtube.com/watch?v=a-LMQ0Gbgok,Fiesta,34
Jesse,,1,,7,Jorge Pena,US,United States,www.youtube.com/watch?v=PpqXjXGB1MY,Pirate 101,5
Jesse,,1,,6,Jorge Pena,US,United States,www.youtube.com/watch?v=YdXCoOB4ECs,Warframe,1
Jesse,,1,,5,Jorge Pena,US,United States,www.youtube.com/watch?v=7xPJcYv66l0,Smashmuck Champions,5
Jesse,,1,,5,Jorge Pena,US,United States,www.youtube.com/watch?v=tKzSex3vPNE,Wizard 101,5
Jesse,,1,,3,Jorge Pena,US,United States,www.youtube.com/watch?v=KyiLnVo-swU,Battlefield Heroes,2
Jesse,,1,,0,Jorge Pena,US,United States,www.youtube.com/watch?v=3z0y6Jrnvfo,Siege on Stars,1
Jordan H,,1,,53,Joseph Whitehorn,US,United States,www.youtube.com/watch?v=RHr9I7-DJPo,Godsrule,3
Jordan H,,1,,51,Joseph Whitehorn,US,United States,www.youtube.com/watch?v=N8ipyiIDgh4,Godsrule,3
Sohaib,,1,,978,Josh,AU,Australia,www.youtube.com/watch?v=e1NQiojusVU,Call of Duty,3
Sohaib,,1,,908,Josh,AU,Australia,www.youtube.com/watch?v=SCIsXS0rQIg,Call of Duty,2
Sohaib,,1,,859,Josh,AU,Australia,www.youtube.com/watch?v=8MOXCo-Y2os,Call of Duty,3
Sohaib,,1,,841,Josh,AU,Australia,www.youtube.com/watch?v=udI-QzgF800,Call of Duty,2
Callum,,1,,"88,206",Kellth,US,United States,www.youtube.com/watch?v=FbE_J49OsbA,Battlefield Heroes,194
Tyler,,1,,"1,102",Kellth,US,United States,www.youtube.com/watch?v=qm3Cc2DJNgM,Battlefield Heroes,2
sheldon,,1,,"12,469",Krzysztof Sulikowski,PL,Poland,www.youtube.com/watch?v=29JugZQh5I8,League of Legends,141
sheldon,,1,,"14,720",Lawrence Dupoux,US,United States,www.youtube.com/watch?v=-Jnt6gOORlw,Maple Story,14
Sohaib,,1,,"10,750",Lawrence Dupoux,US,United States,www.youtube.com/watch?v=DBGjSOc5iJE,Maple Story,3
Sohaib,,1,,132,Lemaro,IT,Italy,www.youtube.com/watch?v=muTWme7eOes,Tera,1
Callum,,1,,"43,972",LilH3ro,NO,Norway,www.youtube.com/watch?v=Ru65578ZOOI,Team Fortress 2,181
Tyler,,1,,"1,972",LilH3ro,NO,Norway,www.youtube.com/watch?v=oFnyi2lpvLA,Team Fortress 2,21
Callum,,1,,"48,210",marden high school,UK,United Kingdom,www.youtube.com/watch?v=oxgINPmGFoM,DC Universe Online (DCUO),16
Callum,,1,1,"50,971",Marten Poferl,DE,Germany,www.youtube.com/watch?v=B9fZi-QNRIU,Minecraft,28
Callum,,1,,"39,326",Marten Poferl,DE,Germany,www.youtube.com/watch?v=tzjvcJGBhNw,Minecraft,51
Callum,,1,,"42,467",Masih Naim,UK,United Kingdom,www.youtube.com/watch?v=NZ9bv4uJG04,Lord of the Rings Online (LOTRO),950
sheldon,,1,,"15,386",Masih Naim,UK,United Kingdom,www.youtube.com/watch?v=Fq0KWGEtqAQ,Age of Wushu,1
Tyler,,1,,"49,671",Masih Naim,UK,United Kingdom,www.youtube.com/watch?v=ppySwdXXMNw,Aion,1664
Tyler,,1,,"7,790",Masih Naim,UK,United Kingdom,www.youtube.com/watch?v=liOUjoWTPDY,Ghost Recon,487
Tyler,,1,,609,Masih Naim,,,www.youtube.com/watch?v=HitaSphmy8Y,League of Legends,1
Tyler,,1,,110,Masih Naim,UK,United Kingdom,www.youtube.com/watch?v=WKAVTUrj6qk,Lord of Ultima,8
Callum,,1,,"52,074",matt daniels,US,United States,www.youtube.com/watch?v=C04iYQYs1FA,Star Wars: The Old Republic (SWTOR),62
Callum,,1,,"107,430",mmoraw,RO,Romania,www.youtube.com/watch?v=pkDDSmwBz8A,Godfather: Five Families,24
Callum,,1,,"86,766",mmoraw,RO,Romania,www.youtube.com/watch?v=fZKBqOqPs6Y,Settlers Online,35
Callum,,1,,"60,984",mmoraw,RO,Romania,www.youtube.com/watch?v=ze304QFHE6k,Rising Cities,27
Callum,,1,,"59,705",mmoraw,RO,Romania,www.youtube.com/watch?v=u2wshHFXhM4,Forge of Empires,14
Tyler,,1,,"35,402",mmoraw,RO,Romania,www.youtube.com/watch?v=dWi3l9DZAZo,Pirate Storm,7
sheldon,,1,,"24,754",mmoraw,RO,Romania,www.youtube.com/watch?v=1fbTUI04TpI,Star Trek Online,44
Sohaib,,1,,"2,360",MyRamdomVideos,CA,Canada,www.youtube.com/watch?v=LNZub-N_HOs,Wargame 1942,3
sheldon,,1,,"19,568",Nestor Beltran Valladares,CL,Chile,www.youtube.com/watch?v=O5fo6bR2D5k,Runes of Magic,55
Stefan,,1,,"6,906",Nestor Beltran Valladares,CL,Chile,www.youtube.com/watch?v=E3Xs74-I17Y,Goal United,62
Sohaib,,1,,"1,942",Nestor Beltran Valladares,CL,Chile,www.youtube.com/watch?v=nT8aDL15kWA,Runes of Magic,9
Sohaib,,1,,"1,147",Nestor Beltran Valladares,,,www.youtube.com/watch?v=HdYZqDIlJnE,Runes of Magic,5
Sohaib,,1,,"1,118",Nestor Beltran Valladares,CL,Chile,www.youtube.com/watch?v=8Nr4EOE-fGM,Goal United,44
Sohaib,,1,,652,Nestor Beltran Valladares,CL,Chile,www.youtube.com/watch?v=Fjmuni7Jvqs,Runes of Magic,1
Sohaib,,1,,148,Nestor Beltran Valladares,CL,Chile,www.youtube.com/watch?v=78qzgIxDQtU,Runes of Magic,7
Sohaib,,1,,55,Nestor Beltran Valladares,CL,Chile,www.youtube.com/watch?v=B7kB6heHCh0,Last Chaos,39
Toby,,1,,185,Nijaz,US,United States,www.youtube.com/watch?v=YJj1GHNLOgk,Star Wars: The Old Republic (SWTOR),1
Toby,,1,,42,Nijaz,US,United States,www.youtube.com/watch?v=FtbHzSQ1-r4,Runescape,1
Callum,,1,,"110,852",Not Casuals,CA,Canada,www.youtube.com/watch?v=XaUtEhxDARg,Star Wars: The Old Republic (SWTOR),36
Sohaib,,1,,246,Paralyzar,US,United States,www.youtube.com/watch?v=aCFxwvMp8vk,Ghost Recon,5
Sohaib,,1,,301,Pe4enkOOO_xD,UA,Ukraine,www.youtube.com/watch?v=N1asn1TMqDc,War Thunder,4
Sohaib,,1,,"1,954",Playmoz,FR,France,www.youtube.com/watch?v=ywBRKW93m0I,Vexxhost,10
Sohaib,,1,,929,Playmoz,FR,France,www.youtube.com/watch?v=xix60VG9AYY,Vexxhost,7
Sohaib,,1,,526,Playmoz,FR,France,www.youtube.com/watch?v=uwNjetfrFc4,Vexxhost,2
Sohaib,,1,,57,POOPOERSQUAD,,,www.youtube.com/watch?v=WlrioZPZyDs,World of Tanks,3
Sheldon,,1,,"114,854",punkrockeryeah,US,United States,www.youtube.com/watch?v=WegkPWH1Sy8,Marvel Avengers Alliance,1917
Sohaib,trailer,1,,12,RASSAR5,ES,Spain,www.youtube.com/watch?v=pVLHvmaYxTE,PlanetSide 2,1
Tyler,,1,,704,RED LIGHT BROADCASTING NETWORK,CA,Canada,www.youtube.com/watch?v=saKC8Px02R4,Goodgame Empire,3
Tyler,,1,,119,RED LIGHT BROADCASTING NETWORK,CA,Canada,www.youtube.com/watch?v=K0LRQndF2i8,Goodgame Empire,8
Tyler,,1,,41,RED LIGHT BROADCASTING NETWORK,CA,Canada,www.youtube.com/watch?v=BCI_2Ki1bPQ,Goodgame Empire,1
Tyler,,1,,40,RED LIGHT BROADCASTING NETWORK,CA,Canada,www.youtube.com/watch?v=-F0Tv0OfgAk,Goodgame Empire,3
Tyler,,1,,"72,567",RED LIGHT BROADCASTING NETWORK,CA,Canada,www.youtube.com/watch?v=L-BN3sVfjFc,Grand Fantasia,640
Tyler,,1,,"39,036",RED LIGHT BROADCASTING NETWORK,CA,Canada,www.youtube.com/watch?v=BzfrRpxNCT8,Scarlet Blade,674
Sohaib,,1,,322,ReinaDCD,Malaysia,#N/A:lookupNotFound:Malaysia,www.youtube.com/watch?v=2UXaPjU1n-Y,Divine Souls,33
Sohaib,trailer,1,,79,richard denye,US,United States,www.youtube.com/watch?v=J5fSEAO78E4,Star Wars: The Old Republic (SWTOR),1
Sohaib,trailer,1,,9,richard denye,US,United States,www.youtube.com/watch?v=9MsnPvzDAMw,Runes of Magic,1
Sohaib,trailer,1,,27,richard nedza,US,United States,www.youtube.com/watch?v=xIXAF9bNsso,Star Trek Online,4
Sohaib,,1,,44,Robin Muller,DE,Germany,www.youtube.com/watch?v=h8d_Q7YLUOc,Godsrule,1
